,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9298,9585,High Rollers Casino,Microsoft Xbox,2004,Misc,Mud Duck Productions,0.1,0.03,0.0,0.0,0.13
9299,9586,Advent Rising,Microsoft Xbox,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13
9300,9587,Surf Riders,Sony PlayStation,1999,Sports,Ubisoft,0.07,0.05,0.0,0.01,0.13
9301,9588,Torino 2006,Sony PlayStation 2,2006,Sports,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13
9302,9589,Nobunaga no Yabou: Ranseiki,Sony PlayStation 2,2002,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13
9303,9590,Derby Stallion Advance,Nintendo Game Boy Advance,2002,Sports,Enterbrain,0.0,0.0,0.12,0.0,0.13
9304,9591,PBR: Out of the Chute,Nintendo Wii,2008,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.13
9305,9592,Monopoly Party,Nintendo GameCube,2002,Misc,Infogrames,0.1,0.03,0.0,0.0,0.13
9306,9593,LEGO Batman 2: DC Super Heroes,Nintendo Wii U,2013,Action,Warner Bros. Interactive Entertainment,0.05,0.07,0.0,0.01,0.13
9307,9594,Thor: God of Thunder,Nintendo DS,2011,Action,Sega,0.09,0.03,0.0,0.01,0.13
9308,9595,TOCA Race Driver 2: Ultimate Racing Simulator,Microsoft Xbox,2004,Racing,Codemasters,0.09,0.03,0.0,0.0,0.13
9309,9596,The Price is Right: Decades,Nintendo Wii,2011,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13
9310,9597,Snood,Nintendo Game Boy Advance,2001,Puzzle,"Destination Software, Inc",0.09,0.03,0.0,0.0,0.13
9311,9598,The Sky Crawlers: Innocent Aces,Nintendo Wii,2008,Simulation,Namco Bandai Games,0.09,0.02,0.01,0.01,0.13
9312,9599,Avatar: The Last Airbender - Into the Inferno,Nintendo DS,2008,Adventure,THQ,0.11,0.01,0.0,0.01,0.13
9313,9600,Fit in Six,Sony PlayStation 3,2011,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13
9314,9601,Monster Jam: Urban Assault,Sony PlayStation 2,2008,Racing,Activision,0.06,0.05,0.0,0.02,0.13
9315,9602,Ice Age: Dawn of the Dinosaurs,Microsoft Xbox 360,2009,Action,Activision,0.09,0.03,0.0,0.01,0.13
9316,9603,DT Racer,Sony PlayStation 2,2005,Racing,XS Games,0.06,0.05,0.0,0.02,0.13
9317,9604,SimAnimals Africa,Nintendo Wii,2009,Simulation,Electronic Arts,0.1,0.01,0.0,0.01,0.13
9318,9605,Deepak Chopra's Leela,Microsoft Xbox 360,2011,Misc,THQ,0.07,0.05,0.0,0.01,0.13
9319,9606,Twister Mania,Microsoft Xbox 360,2011,Misc,505 Games,0.1,0.01,0.0,0.01,0.13
9320,9607,World Cup Golf: Professional Edition,Sony PlayStation,1995,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13
9321,9608,Black Dawn,Sony PlayStation,1996,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13
9322,9609,Soccer Tsuku: Pro Soccer Club o Tsukurou!,Sony PlayStation 3,2013,Sports,Sega,0.0,0.0,0.13,0.0,0.13
9323,9610,428: Fuusa Sareta Shibuya de,Nintendo Wii,2008,Adventure,Sega,0.0,0.0,0.13,0.0,0.13
9324,9611,Kelly Slater's Pro Surfer,Nintendo Game Boy Advance,2002,Sports,Activision,0.09,0.03,0.0,0.0,0.13
9325,9612,Warriors of Might and Magic,Sony PlayStation,2001,Adventure,3DO,0.07,0.05,0.0,0.01,0.13
9326,9613,Drome Racers,Sony PlayStation 2,2002,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13
9327,9614,X-Men: Next Dimension,Nintendo GameCube,2002,Fighting,Activision,0.1,0.03,0.0,0.0,0.13
9328,9615,Impossible Mission,Nintendo DS,2007,Platform,System 3 Arcade Software,0.12,0.0,0.0,0.01,0.13
9329,9616,NCIS,Sony PlayStation 3,2011,Adventure,Ubisoft,0.07,0.04,0.0,0.02,0.13
9330,9617,Cabela's Dangerous Hunts 2011,Nintendo DS,2010,Sports,Activision,0.12,0.0,0.0,0.01,0.13
9331,9618,Garfield's Fun Fest,Nintendo DS,2008,Platform,Zoo Digital Publishing,0.07,0.04,0.0,0.01,0.13
9332,9619,7th Dragon 2020-II,Sony PlayStation Portable,2013,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13
9333,9620,Doukyuusei 2,Sega Saturn,1997,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13
9334,9621,SkullMonkeys,Sony PlayStation,1998,Platform,DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13
9335,9622,Cloudy With a Chance of Meatballs,Nintendo Wii,2009,Platform,Ubisoft,0.11,0.0,0.0,0.01,0.13
9336,9623,Burnout,Microsoft Xbox,2002,Racing,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13
9337,9624,Zenses: Ocean,Nintendo DS,2008,Puzzle,Game Factory,0.11,0.01,0.0,0.01,0.13
9338,9625,Ben 10 Galactic Racing,Nintendo Wii,2011,Racing,D3Publisher,0.08,0.03,0.0,0.01,0.13
9339,9626,Teenage Mutant Ninja Turtles: Arcade Attack,Nintendo DS,2009,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13
9340,9627,Baroque,Sony PlayStation 2,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13
9341,9628,Left Brain Right Brain 2,Nintendo DS,2008,Misc,Majesco Entertainment,0.12,0.0,0.0,0.01,0.13
9342,9629,Dynasty Warriors: Gundam Reborn,Sony Playstation Vita,2013,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9343,9630,Kidz Sports: Crazy Golf,Nintendo Wii,2008,Sports,Data Design Interactive,0.11,0.0,0.0,0.01,0.13
9344,9631,Little Battlers eXperience: Wars,Nintendo 3DS,2013,Strategy,Level 5,0.0,0.0,0.13,0.0,0.13
9345,9632,Victorious: Time to Shine,Microsoft Xbox 360,2011,Action,D3Publisher,0.12,0.0,0.0,0.01,0.13
9346,9633,NBA Ballers: Phenom,Microsoft Xbox,2006,Sports,Midway Games,0.09,0.03,0.0,0.0,0.13
9347,9634,Aikatsu! 365 Idol Days,Nintendo 3DS,2014,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
9348,9635,Petz Puppyz & Kittenz,Nintendo DS,2011,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13
9349,9636,Crash Tag Team Racing,Microsoft Xbox,2005,Racing,Vivendi Games,0.09,0.03,0.0,0.0,0.13
9350,9637,Freedom Fighters,Nintendo GameCube,2003,Shooter,Electronic Arts,0.1,0.03,0.0,0.0,0.13
9351,9638,The Stronghold Collection,PC,2009,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13
9352,9639,Operation Abyss: New Tokyo Legacy,Sony Playstation Vita,2014,Role-Playing,Nippon Ichi Software,0.04,0.01,0.06,0.02,0.13
9353,9640,Transformer: Rise of the Dark Spark,Sony PlayStation 3,2014,Action,Activision,0.04,0.05,0.01,0.02,0.13
9354,9641,Mega Man X Collection,Nintendo GameCube,2006,Misc,Capcom,0.1,0.03,0.0,0.0,0.13
9355,9642,Detana TwinBee Yahho! Deluxe Pack,Sega Saturn,1995,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
9356,9643,Dragon Ball: Origins,Nintendo DS,2008,Action,Atari,0.09,0.03,0.0,0.01,0.13
9357,9644,Last Ranker,Sony PlayStation Portable,2010,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13
9358,9645,Quantum Redshift,Microsoft Xbox,2002,Racing,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.13
9359,9646,Smash Court Tennis Pro Tournament 2,Sony PlayStation 2,2004,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13
9360,9647,Eat Lead: The Return of Matt Hazard,Microsoft Xbox 360,2009,Shooter,D3Publisher,0.1,0.01,0.0,0.01,0.13
9361,9648,Battleborn,Microsoft Xbox One,2016,Shooter,Take-Two Interactive,0.08,0.04,0.0,0.01,0.13
9362,9649,Legends of Wrestling II,Microsoft Xbox,2002,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13
9363,9650,Power Pro Kun Pocket 13,Nintendo DS,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
9364,9651,Armed and Dangerous,Microsoft Xbox,2003,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13
9365,9652,Jurassic: The Hunted,Microsoft Xbox 360,2009,Shooter,Activision,0.12,0.0,0.0,0.01,0.13
9366,9653,Adventures to Go!,Sony PlayStation Portable,2008,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.13
9367,9654,Conduit 2,Nintendo Wii,2011,Shooter,Sega,0.07,0.04,0.0,0.01,0.13
9368,9655,Supremacy MMA,Sony PlayStation 3,2011,Fighting,505 Games,0.06,0.04,0.0,0.02,0.13
9369,9656,World Soccer Winning Eleven 2002,Sony PlayStation,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13
9370,9657,Geometry Wars: Galaxies,Nintendo Wii,2007,Shooter,Vivendi Games,0.11,0.0,0.0,0.01,0.13
9371,9658,Actua Tennis,Sony PlayStation,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13
9372,9659,Horse Life,Nintendo DS,2007,Simulation,Game Life,0.09,0.02,0.0,0.01,0.13
9373,9660,Monster Truck Madness,Nintendo Game Boy Advance,2003,Racing,THQ,0.09,0.03,0.0,0.0,0.12
9374,9661,Sonic Jam,Sega Saturn,1997,Platform,Sega,0.0,0.0,0.12,0.0,0.12
9375,9662,Puella Magi Madoka Magica Portable,Sony PlayStation Portable,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9376,9663,Ninja Reflex,Nintendo Wii,2008,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.12
9377,9664,Peter Jacobsen's Golden Tee Golf,Sony PlayStation,2000,Sports,Infogrames,0.07,0.05,0.0,0.01,0.12
9378,9665,Calling,Nintendo Wii,2009,Adventure,Konami Digital Entertainment,0.07,0.04,0.0,0.01,0.12
9379,9666,Marvel Avengers: Battle for Earth,Nintendo Wii U,2012,Action,Ubisoft,0.07,0.04,0.0,0.01,0.12
9380,9667,Disney's Atlantis: The Lost Empire,Nintendo Game Boy Advance,2001,Platform,THQ,0.09,0.03,0.0,0.0,0.12
9381,9668,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,Sega Saturn,1998,Sports,Sega,0.0,0.0,0.12,0.0,0.12
9382,9670,Where the Wild Things Are,Nintendo Wii,2009,Platform,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12
9383,9671,High Velocity: Mountain Racing Challenge,Sega Saturn,1995,Racing,Atlus,0.0,0.0,0.12,0.0,0.12
9384,9672,NHL 2K7,Sony PlayStation 3,2006,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12
9385,9673,Resident Evil,Sony PlayStation 3,2006,Action,Capcom,0.0,0.0,0.12,0.0,0.12
9386,9674,Capcom vs. SNK 2: Millionaire Fighting 2001,Sega Dreamcast,2001,Fighting,Capcom,0.0,0.0,0.12,0.0,0.12
9387,9675,Criticom,Sony PlayStation,1996,Fighting,Vic Tokai,0.07,0.05,0.0,0.01,0.12
9388,9676,SCORE International Baja 1000: The Official Game,Microsoft Xbox 360,2008,Racing,Activision,0.11,0.01,0.0,0.01,0.12
9389,9677,Disney Sing It: Party Hits,Sony PlayStation 3,2010,Misc,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.12
9390,9678,Sleeping Dogs,PC,2012,Action,Square Enix,0.06,0.05,0.0,0.02,0.12
9391,9679,Mega Man X: Command Mission,Nintendo GameCube,2004,Role-Playing,Capcom,0.1,0.02,0.0,0.0,0.12
9392,9680,Diner Dash: Sizzle & Serve,Sony PlayStation Portable,2007,Puzzle,Eidos Interactive,0.11,0.0,0.0,0.01,0.12
9393,9681,After Hours Athletes,Sony PlayStation 3,2011,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12
9394,9682,Lego Star Wars: The Force Awakens,Sony PlayStation 3,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0.0,0.02,0.12
9395,9683,Worms 3D,Sony PlayStation 2,2003,Strategy,Sega,0.06,0.05,0.0,0.02,0.12
9396,9684,Clock Tower: The First Fear,Sony PlayStation,1997,Adventure,Human Entertainment,0.0,0.0,0.12,0.01,0.12
9397,9685,Kidou Senshi Gundam Seed Battle Destiny,Sony Playstation Vita,2012,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9398,9686,Godzilla Unleashed: Double Smash,Nintendo DS,2007,Action,Atari,0.11,0.0,0.0,0.01,0.12
9399,9687,Star Trek: Conquest,Nintendo Wii,2007,Strategy,Bethesda Softworks,0.11,0.01,0.0,0.01,0.12
9400,9688,"Kilari: Na-san, Mon Meilleur Ami",Nintendo DS,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12
9401,9689,Strikers 1945,Sony PlayStation,1998,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12
9402,9690,Ochaken no Heya DS,Nintendo DS,2006,Simulation,MTO,0.0,0.0,0.12,0.0,0.12
9403,9691,Obscure: The Aftermath,Nintendo Wii,2008,Action,Playlogic Game Factory,0.12,0.0,0.0,0.01,0.12
9404,9692,Galidor: Defenders of the Outer Dimension,Nintendo Game Boy Advance,2002,Action,Electronic Arts,0.09,0.03,0.0,0.0,0.12
9405,9693,Tom Clancy's Splinter Cell Trilogy,Sony PlayStation 3,2011,Action,Ubisoft,0.0,0.1,0.0,0.03,0.12
9406,9695,Fire ProWrestling S: 6Men Scramble,Sega Saturn,1996,Fighting,Human Entertainment,0.0,0.0,0.12,0.0,0.12
9407,9696,Blackwater,Microsoft Xbox 360,2011,Shooter,505 Games,0.09,0.02,0.0,0.01,0.12
9408,9697,Pryzm Chapter One: The Dark Unicorn,Sony PlayStation 2,2002,Adventure,TDK Mediactive,0.06,0.05,0.0,0.02,0.12
9409,9698,Gundam Battle Royale,Sony PlayStation Portable,2006,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9410,9699,Solitaire & Mahjong,Nintendo Wii,2009,Puzzle,Crave Entertainment,0.11,0.0,0.0,0.01,0.12
9411,9700,Zen-Nippon Pro Wrestling: Ouja no Kon,Sony PlayStation,1999,Fighting,Human Entertainment,0.0,0.0,0.12,0.01,0.12
9412,9701,NASCAR 2005: Chase for the Cup,Nintendo GameCube,2004,Racing,Electronic Arts,0.1,0.02,0.0,0.0,0.12
9413,9702,Homefront: The Revolution,Microsoft Xbox One,2016,Shooter,Deep Silver,0.05,0.07,0.0,0.01,0.12
9414,9703,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",Sony PlayStation 2,2008,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12
9415,9704,Guilty Gear X,Sony PlayStation 2,2001,Fighting,Sammy Corporation,0.06,0.05,0.0,0.02,0.12
9416,9705,Deadliest Catch: Sea of Chaos,Nintendo Wii,2010,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.12
9417,9706,One Piece: Pirate Warriors 2,Sony Playstation Vita,2013,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9418,9707,NHL 2002,Nintendo Game Boy Advance,2002,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12
9419,9708,Disney's PK: Out of the Shadows,Sony PlayStation 2,2002,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.12
9420,9709,Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,Nintendo DS,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9421,9710,Karaoke Revolution,Microsoft Xbox 360,2009,Misc,Konami Digital Entertainment,0.12,0.0,0.0,0.01,0.12
9422,9711,Echo Night,Sony PlayStation,1998,Adventure,From Software,0.03,0.02,0.07,0.01,0.12
9423,9712,Are You Smarter than a 5th Grader? Game Time,Microsoft Xbox 360,2009,Puzzle,THQ,0.12,0.0,0.0,0.01,0.12
9424,9713,Rocket League,Microsoft Xbox One,2016,Sports,505 Games,0.03,0.09,0.0,0.01,0.12
9425,9714,Wild ARMs 5 (jp sales),Sony PlayStation 2,2006,Role-Playing,505 Games,0.0,0.0,0.12,0.0,0.12
9426,9715,Tom Clancy's Splinter Cell: Blacklist,Nintendo Wii U,2013,Action,Ubisoft,0.05,0.07,0.0,0.01,0.12
9427,9716,Gladiator Begins,Sony PlayStation Portable,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12
9428,9717,Colony Wars III: Red Sun,Sony PlayStation,2000,Simulation,Psygnosis,0.07,0.05,0.0,0.01,0.12
9429,9718,Magic: The Gathering - Battlemage,Sony PlayStation,1997,Strategy,Acclaim Entertainment,0.07,0.05,0.0,0.01,0.12
9430,9719,The King of Fighters '94,SNK Neo Geo,1994,Fighting,SNK,0.0,0.0,0.12,0.0,0.12
9431,9720,DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,Nintendo DS,2008,Adventure,Tecmo Koei,0.0,0.0,0.12,0.0,0.12
9432,9721,Puzzle Quest 2,Nintendo DS,2010,Puzzle,D3Publisher,0.11,0.0,0.0,0.01,0.12
9433,9722,All Kamen Rider: Rider Generation,Nintendo DS,2011,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9434,9723,The King of Fighters '98 Ultimate Match,Sony PlayStation 2,2008,Fighting,Ignition Entertainment,0.04,0.03,0.03,0.01,0.12
9435,9724,Onechanbara: Bikini Zombie Slayers,Nintendo Wii,2008,Action,D3Publisher,0.11,0.0,0.0,0.01,0.12
9436,9725,Puzzle Quest: Challenge of the Warlords,Sony PlayStation 2,2007,Puzzle,D3Publisher,0.06,0.05,0.0,0.02,0.12
9437,9726,Angry Birds Star Wars,Sony Playstation Vita,2013,Strategy,Activision,0.05,0.04,0.0,0.03,0.12
9438,9727,Guardian's Crusade,Sony PlayStation,1998,Role-Playing,Activision,0.07,0.05,0.0,0.01,0.12
9439,9728,Undead Knights,Sony PlayStation Portable,2009,Action,Ubisoft Annecy,0.05,0.01,0.06,0.01,0.12
9440,9729,Final Fantasy XIV: Heavensward,Sony PlayStation 4,2015,Action,Square Enix,0.0,0.05,0.06,0.01,0.12
9441,9730,Lemony Snicket's A Series of Unfortunate Events,Microsoft Xbox,2004,Platform,Activision,0.09,0.03,0.0,0.0,0.12
9442,9731,MotoGP 3 - Official Game of MotoGP,Sony PlayStation 2,2003,Racing,Namco Bandai Games,0.06,0.05,0.0,0.02,0.12
9443,9732,Makai Kingdom: Chronicles of the Sacred Tome,Sony PlayStation 2,2005,Role-Playing,Tecmo Koei,0.06,0.05,0.0,0.02,0.12
9444,9733,The Ant Bully,Nintendo GameCube,2006,Platform,Midway Games,0.09,0.02,0.0,0.0,0.12
9445,9734,M&M's Kart Racing,Nintendo DS,2008,Racing,Zoo Digital Publishing,0.11,0.0,0.0,0.01,0.12
9446,9735,Bomberman Party Edition,Sony PlayStation,1998,Puzzle,Virgin Interactive,0.07,0.05,0.0,0.01,0.12
9447,9736,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,Nintendo 3DS,2014,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9448,9737,Dragon Ball Z: Battle of Z,Sony Playstation Vita,2014,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.02,0.12
9449,9738,Eyeshield 21: Max Devil Power,Nintendo DS,2006,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.12
9450,9739,Summon Night 3,Sony PlayStation Portable,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9451,9740,O.D.T.: Escape... Or Die Trying,Sony PlayStation,1997,Adventure,Psygnosis,0.07,0.05,0.0,0.01,0.12
9452,9741,Madden NFL 06,Nintendo DS,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12
9453,9742,Escape The Museum,Nintendo Wii,2009,Adventure,Majesco Entertainment,0.11,0.01,0.0,0.01,0.12
9454,9743,Fuse (Insomniac),Sony PlayStation 3,2013,Shooter,Electronic Arts,0.06,0.04,0.0,0.02,0.12
9455,9745,Lunar: Dragon Song,Nintendo DS,2005,Role-Playing,Rising Star Games,0.11,0.0,0.0,0.01,0.12
9456,9746,Break 'Em All,Nintendo DS,2005,Puzzle,D3Publisher,0.11,0.0,0.0,0.01,0.12
9457,9747,WWE SmackDown vs Raw 2008,Nintendo DS,2007,Fighting,THQ,0.11,0.01,0.0,0.01,0.12
9458,9748,MotoGP 14,Sony PlayStation 3,2014,Racing,Milestone S.r.l.,0.04,0.06,0.0,0.02,0.12
9459,9749,Cars 2,Sony PlayStation Portable,2011,Racing,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.12
9460,9750,Major League Baseball 2K8 Fantasy All-Stars,Nintendo DS,2008,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12
9461,9752,Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,Sony PlayStation Portable,2007,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9462,9753,San Goku Shi V,Sega Saturn,1996,Strategy,Tecmo Koei,0.0,0.0,0.12,0.0,0.12
9463,9754,Puzzle Kingdoms,Nintendo Wii,2009,Puzzle,Zoo Digital Publishing,0.11,0.0,0.0,0.01,0.12
9464,9755,The Lord of the Rings: Aragorn's Quest,Nintendo DS,2010,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.12
9465,9756,WRC 5: FIA World Rally Championship,Sony PlayStation 3,2015,Sports,Bigben Interactive,0.02,0.09,0.0,0.02,0.12
9466,9757,Red Faction II,Microsoft Xbox,2003,Shooter,THQ,0.09,0.03,0.0,0.0,0.12
9467,9758,Daikaijyuu Monogatari II,Super Nintendo Entertainment System,1996,Role-Playing,Hudson Soft,0.0,0.0,0.12,0.0,0.12
9468,9759,Rock Band Track Pack Volume 2,Sony PlayStation 2,2008,Misc,MTV Games,0.06,0.05,0.0,0.02,0.12
9469,9760,Voodoo Vince,Microsoft Xbox,2003,Platform,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.12
9470,9761,Bodycount,Sony PlayStation 3,2011,Shooter,Codemasters,0.05,0.06,0.0,0.02,0.12
9471,9762,Gundam Memories: Tatakai no Kioku,Sony PlayStation Portable,2011,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9472,9763,Megamind: Ultimate Showdown,Microsoft Xbox 360,2010,Action,THQ,0.07,0.04,0.0,0.01,0.12
9473,9764,Kaijuu Busters,Nintendo DS,2009,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9474,9765,Neopets Petpet Adventures: The Wand of Wishing,Sony PlayStation Portable,2006,Adventure,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12
9475,9766,Ferrari Challenge Trofeo Pirelli,Sony PlayStation 2,2008,Racing,System 3 Arcade Software,0.06,0.05,0.0,0.02,0.12
9476,9767,Virtua Fighter CG Portrait Series Vol.4: Pai Chan,Sega Saturn,1995,Misc,Sega,0.0,0.0,0.12,0.0,0.12
9477,9768,Chase: Hollywood Stunt Driver,Microsoft Xbox,2002,Racing,BAM! Entertainment,0.09,0.03,0.0,0.0,0.12
9478,9769,The X Files: Resist or Serve,Sony PlayStation 2,2004,Adventure,Vivendi Games,0.06,0.05,0.0,0.02,0.12
9479,9770,Mobile Suit Gundam Side Story: Missing Link,Sony PlayStation 3,2014,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9480,9772,Curious George,Sony PlayStation 2,2006,Action,Namco Bandai Games,0.06,0.05,0.0,0.02,0.12
9481,9773,Crush3D,Nintendo 3DS,2012,Platform,Sega,0.07,0.04,0.0,0.01,0.12
9482,9774,Zathura,Sony PlayStation 2,2005,Adventure,Take-Two Interactive,0.06,0.05,0.0,0.02,0.12
9483,9775,Lovely Lisa,Nintendo DS,2007,Simulation,DHM Interactive,0.11,0.0,0.0,0.01,0.12
9484,9776,Medarot DS: Kabuto / Kuwagata Ver.,Nintendo DS,2010,Role-Playing,Rocket Company,0.0,0.0,0.12,0.0,0.12
9485,9777,Mountain Sports,Nintendo Wii,2009,Sports,Activision,0.11,0.0,0.0,0.01,0.12
9486,9778,Tenchu: Shadow Assassins,Sony PlayStation Portable,2009,Action,Ubisoft,0.03,0.03,0.05,0.01,0.12
9487,9779,NPPL: Championship Paintball 2009,Microsoft Xbox 360,2008,Shooter,Activision Value,0.1,0.01,0.0,0.01,0.12
9488,9780,Lost Planet 3,Microsoft Xbox 360,2013,Shooter,Capcom,0.07,0.04,0.01,0.01,0.12
9489,9781,Making History: The Great War,Sony PlayStation Portable,2010,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9490,9782,Shin Megami Tensei: Devil Survivor 2,Nintendo 3DS,2015,Role-Playing,Atlus,0.0,0.03,0.09,0.0,0.12
9491,9783,The God of War Trilogy,Sony PlayStation 3,2010,Action,Sony Computer Entertainment,0.0,0.07,0.03,0.02,0.12
9492,9784,Dance Paradise,Microsoft Xbox 360,2010,Misc,Mindscape,0.1,0.01,0.0,0.01,0.12
9493,9785,Backyard Baseball '10,Nintendo DS,2009,Sports,Atari,0.11,0.0,0.0,0.01,0.12
9494,9786,Blazblue: Continuum Shift Extend,Sony Playstation Vita,2011,Fighting,PQube,0.03,0.05,0.02,0.02,0.12
9495,9787,Cel Damage,Microsoft Xbox,2001,Racing,Electronic Arts,0.09,0.03,0.0,0.0,0.12
9496,9788,Go! Sudoku,Sony PlayStation Portable,2005,Puzzle,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12
9497,9789,Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0.0,0.1,0.0,0.02,0.12
9498,9790,SSX 3,Nintendo Game Boy Advance,2003,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12
9499,9791,My Chinese Coach,Nintendo DS,2008,Misc,Ubisoft,0.11,0.01,0.0,0.01,0.12
9500,9792,DiRT 2,Nintendo DS,2009,Racing,Codemasters,0.06,0.04,0.0,0.01,0.12
9501,9793,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,Nintendo DS,2007,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
9502,9794,The King of Fighters Collection: The Orochi Saga,Nintendo Wii,2008,Fighting,Ignition Entertainment,0.11,0.0,0.0,0.01,0.12
9503,9795,Atelier Annie: Alchemists of Sera Island,Nintendo DS,2009,Role-Playing,Gust,0.08,0.0,0.03,0.01,0.12
9504,9796,Breakdown,Microsoft Xbox,2004,Adventure,Electronic Arts,0.09,0.03,0.0,0.0,0.12
9505,9797,Rush,Sony PlayStation Portable,2006,Racing,Midway Games,0.11,0.0,0.0,0.01,0.12
9506,9798,Ecco the Dolphin,Sega Genesis,1992,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
9507,9799,The Legend of Heroes: Trails of Cold Steel II,Sony PlayStation 3,2014,Role-Playing,Nippon Ichi Software,0.01,0.0,0.11,0.0,0.12
9508,9800,Looney Tunes: Sheep Raider,Sony PlayStation,2001,Platform,Infogrames,0.07,0.05,0.0,0.01,0.12
9509,9801,Yard Sale Hidden Treasures: Sunnyville,Nintendo DS,2010,Puzzle,Konami Digital Entertainment,0.11,0.0,0.0,0.01,0.12
